Date;Price
31-10-2019;6526.904
29-11-2019;6708.680
31-12-2019;6909.660
31-01-2020;6867.603
28-02-2020;6287.117
31-03-2020;5455.063
30-04-2020;6050.997
29-05-2020;6343.310
30-06-2020;6511.097
31-07-2020;6822.597
